"Local.Match.ID","Home.Team.Name","Away.Team.Name","Home.Team.Goals","Away.Team.Goals","Match.Date","Attendance","Referees","Home.Coach","Home.Assistant","Away.Coach","Away.Assistant","Phase","Season","CT.Broadcast","Home.Team.Halftime.Goals","Away.Team.Halftime.Goals","Home.Team.7m.Goals","Away.Team.7m.Goals"
1,"M.A.T. Plzen","Dukla Praha",22,24,"13.5.2017",1370,"Michal Hanák, Luboš Pavlícek","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch","2016/2017",0,14,14,3,2
2,"M.A.T. Plzen","Dukla Praha",34,19,"14.5.2017",1340,"Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Jan Josef","Jirí Kotrc","FinalsMatch","2016/2017",0,18,9,2,7
3,"Dukla Praha","M.A.T. Plzen",28,23,"19.5.2017",700,"Václav Horácek, Jirí Novotný","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch","2016/2017",1,13,14,2,0
4,"Dukla Praha","M.A.T. Plzen",27,26,"20.5.2017",1300,"Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Martin Šetlík","Stanislav Raizl","FinalsMatch","2016/2017",0,12,8,4,3
5,"HC ROBE Zubrí","HK FCC Mesto Lovosice",34,20,"13.5.2017",1134,"Jirí Opava, Pavel Válek","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","3rdPlaceMatch","2016/2017",0,12,9,4,2
6,"HC ROBE Zubrí","HK FCC Mesto Lovosice",33,24,"14.5.2017",1043,"Dalibor Pavlát, Ludek Tocík","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","3rdPlaceMatch","2016/2017",0,17,10,2,0
7,"HK FCC Mesto Lovosice","HC ROBE Zubrí",31,29,"20.5.2017",580,", Radek Mohyla","Milan Berka","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2016/2017",0,14,15,2,2
8,"HK FCC Mesto Lovosice","HC ROBE Zubrí",22,32,"21.5.2017",410,"Václav Horácek, Jirí Novotný","Milan Berka","Pavel Haken","Andrej Titkov","Ivo Tovaryš","3rdPlaceMatch","2016/2017",0,11,17,2,0
9,"HBC Ronal Jicín","Pepino SKP Frýdek-Místek",26,27,"28.4.2017",305,"Dalibor Pavlát, Ludek Tocík","Aleš Babák","Petr Kyncl","Aleš Chrastina","Petr Mazur","5thPlaceMatch","2016/2017",0,15,14,1,4
10,"Pepino SKP Frýdek-Místek","HBC Ronal Jicín",21,22,"7.5.2017",389,"Michal Hanák, Luboš Pavlícek","Aleš Chrastina","Petr Mazur","Aleš Babák","Petr Kyncl","5thPlaceMatch","2016/2017",0,12,13,3,2
11,"SKKP Handball Brno","HCB Karviná",29,30,"28.4.2017",112,"Václav Horácek, Jirí Novotný","Zdenek Missbach","Pavel Cejka","Marek Michalisko","Alexander Radcenko","7thPlaceMatch","2016/2017",0,16,12,0,4
12,"HCB Karviná","SKKP Handball Brno",33,30,"5.5.2017",328,"Adam Baader, Jirí Novotný","Marek Michalisko","Jan Užek","Zdenek Missbach","Pavel Cejka","7thPlaceMatch","2016/2017",0,15,14,3,2
13,"M.A.T. Plzen","HK FCC Mesto Lovosice",34,26,"14.4.2017",1120,"Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Milan Berka","Pavel Haken","SemifinalsMatch","2016/2017",0,20,12,3,5
14,"M.A.T. Plzen","HK FCC Mesto Lovosice",29,23,"15.4.2017",1170,"Dalibor Pavlát, Ludek Tocík","Martin Šetlík","Stanislav Raizl","Milan Berka","Pavel Haken","SemifinalsMatch","2016/2017",0,17,9,2,4
15,"HC ROBE Zubrí","Dukla Praha",28,29,"15.4.2017",1462,"Václav Horácek, Jirí Novotný","Andrej Titkov","Ivo Tovaryš","Jan Josef","Jirí Kotrc","SemifinalsMatch","2016/2017",0,15,11,4,2
16,"HC ROBE Zubrí","Dukla Praha",20,26,"16.4.2017",1386,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Ivo Tovaryš","Jan Josef","Jirí Kotrc","SemifinalsMatch","2016/2017",0,11,10,2,3
17,"Dukla Praha","HC ROBE Zubrí",28,24,"22.4.2017",535,"Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Andrej Titkov","Ivo Tovaryš","SemifinalsMatch","2016/2017",0,16,14,3,5
18,"HK FCC Mesto Lovosice","M.A.T. Plzen",23,32,"22.4.2017",910,"Jirí Opava, Pavel Válek","Milan Berka","Pavel Haken","Martin Šetlík","Stanislav Raizl","SemifinalsMatch","2016/2017",0,12,13,4,2
19,"Pepino SKP Frýdek-Místek","SKKP Handball Brno",29,28,"13.4.2017",390,"Mojmír Valášek, Jaroslav Vychodil","Aleš Chrastina","Lubomír Kavka","Zdenek Missbach","Pavel Cejka","5till8placeMatch","2016/2017",0,14,16,5,2
20,"HBC Ronal Jicín","HCB Karviná",30,25,"14.4.2017",420,"Lukáš Frieser, Radoslav Kavulic","Aleš Babák","Petr Kyncl","Marek Michalisko","Alexander Radcenko","5till8placeMatch","2016/2017",0,17,11,1,2
21,"HCB Karviná","HBC Ronal Jicín",24,23,"22.4.2017",480,"David Šlezingr, Jirí Špunar","Marek Michalisko","Jan Užek","Aleš Babák","Petr Kyncl","5till8placeMatch","2016/2017",0,9,13,7,2
22,"SKKP Handball Brno","Pepino SKP Frýdek-Místek",29,29,"22.4.2017",283,"Martin Kosa, Pavel Švidernoch","Zdenek Missbach","Pavel Cejka","Aleš Chrastina","Petr Mazur","5till8placeMatch","2016/2017",0,16,14,5,6
23,"Dukla Praha","SKKP Handball Brno",34,20,"25.3.2017",285,"Tomáš Kozler, Martin Zych","Jan Josef","Jirí Kotrc","Zdenek Missbach","Pavel Cejka","QuarterfinalsMatch","2016/2017",0,16,9,1,2
24,"HK FCC Mesto Lovosice","HCB Karviná",31,29,"25.3.2017",730,"Václav Horácek, Jirí Novotný","Milan Berka","Pavel Haken","Marek Michalisko","Alexander Radcenko","QuarterfinalsMatch","2016/2017",0,17,13,1,1
25,"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",23,19,"25.3.2017",1328,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch","2016/2017",0,12,6,3,1
26,"M.A.T. Plzen","HBC Ronal Jicín",26,23,"25.3.2017",980,"Pavel Blanar, Michael Haramul","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2016/2017",0,15,9,3,3
27,"Dukla Praha","SKKP Handball Brno",29,19,"26.3.2017",310,"Martin Kosa, Pavel Švidernoch","Jan Josef","Jirí Kotrc","Zdenek Missbach","Pavel Cejka","QuarterfinalsMatch","2016/2017",0,11,10,2,4
28,"HK FCC Mesto Lovosice","HCB Karviná",32,20,"26.3.2017",752,"Marek Becicka, Tomáš Bubenícek","Milan Berka","Pavel Haken","Marek Michalisko","Alexander Radcenko","QuarterfinalsMatch","2016/2017",0,15,12,2,0
29,"M.A.T. Plzen","HBC Ronal Jicín",34,24,"26.3.2017",935,"Dalibor Pavlát, Ludek Tocík","Martin Šetlík","Stanislav Raizl","Aleš Babák","Petr Kyncl","QuarterfinalsMatch","2016/2017",0,18,10,6,2
30,"HC ROBE Zubrí","Pepino SKP Frýdek-Místek",33,27,"26.3.2017",1184,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Ivo Tovaryš","Aleš Chrastina","Petr Mazur","QuarterfinalsMatch","2016/2017",0,17,16,3,2
31,"SKKP Handball Brno","Dukla Praha",25,35,"1.4.2017",254,"Pavel Blanar, Michael Haramul","Zdenek Missbach","Pavel Cejka","Jan Josef","Jirí Kotrc","QuarterfinalsMatch","2016/2017",0,9,16,3,6
32,"HCB Karviná","HK FCC Mesto Lovosice",35,31,"1.4.2017",668,"Dalibor Pavlát, Ludek Tocík","Marek Michalisko","Jan Užek","Milan Berka","Pavel Haken","QuarterfinalsMatch","2016/2017",0,19,17,4,2
33,"HBC Ronal Jicín","M.A.T. Plzen",24,27,"1.4.2017",620,"Premysl Fukala, Radek Mohyla","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl","QuarterfinalsMatch","2016/2017",0,12,14,6,3
34,"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,31,"1.4.2017",476,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Andrej Titkov","Ivo Tovaryš","QuarterfinalsMatch","2016/2017",0,13,12,3,3
35,"HCB Karviná","HK FCC Mesto Lovosice",31,27,"2.4.2017",708,"Milan Hájek, Karel Macho","Marek Michalisko","Jan Užek","Milan Berka","Pavel Haken","QuarterfinalsMatch","2016/2017",0,16,11,3,1
36,"HK FCC Mesto Lovosice","HCB Karviná",35,24,"8.4.2017",1062,"Milan Hájek, Karel Macho","Milan Berka","Pavel Haken","Marek Michalisko","Alexander Radcenko","QuarterfinalsMatch","2016/2017",0,17,13,2,3
37,"Sokol Nové Veselí","Cement Hranice",28,25,"28.4.2017",300,"Milan Hájek, Karel Macho","Pavel Hladík","Filip Vecera","Libor Hrabal","Martin Stržínek","9till12placeMatch","2016/2017",0,15,9,2,3
38,"Tatran Litovel","Koprivnice",33,31,"29.4.2017",0,"Marek Becicka, Tomáš Bubenícek","Kvetoslav Kuba","Jirí Macek","Ivo Vávra","Igor Fulnek","9till12placeMatch","2016/2017",0,19,14,1,5
39,"Cement Hranice","Tatran Litovel",29,22,"23.4.2017",255,"Adam Baader, Jirí Novotný","Libor Hrabal","Martin Stržínek","Michal Hradil","Jirí Macek","9till12placeMatch","2016/2017",0,15,11,4,3
40,"Koprivnice","Sokol Nové Veselí",23,29,"23.4.2017",230,"Jirí Králícek, Milan Letev","Ivo Vávra","Igor Fulnek","Pavel Hladík","Tomáš Augustýn","9till12placeMatch","2016/2017",0,9,12,2,2
41,"Tatran Litovel","Sokol Nové Veselí",27,34,"12.4.2017",181,"Mojmír Valášek, Jaroslav Vychodil","Michal Hradil","Jirí Macek","Pavel Hladík","Stanislav Krcál","9till12placeMatch","2016/2017",0,15,18,1,2
42,"Cement Hranice","Koprivnice",24,25,"14.4.2017",257,"Dalibor Pavlát, Ludek Tocík","Libor Hrabal","Martin Stržínek","Ivo Vávra","Igor Fulnek","9till12placeMatch","2016/2017",0,12,12,3,6
43,"Cement Hranice","Sokol Nové Veselí",24,23,"9.4.2017",170,"Pavel Blanar, Michael Haramul","Libor Hrabal","Martin Stržínek","Pavel Hladík","Stanislav Krcál","9till12placeMatch","2016/2017",0,12,12,1,4
44,"Koprivnice","Tatran Litovel",25,25,"9.4.2017",320,"Premysl Fukala, Radek Mohyla","Ivo Vávra","Igor Fulnek","Michal Hradil","Jirí Macek","9till12placeMatch","2016/2017",0,10,11,5,3
45,"Sokol Nové Veselí","Koprivnice",35,24,"1.4.2017",250,"Jirí Opava, Pavel Válek","Pavel Hladík","Filip Vecera","Ivo Vávra","Igor Fulnek","9till12placeMatch","2016/2017",0,17,11,3,4
46,"Tatran Litovel","Cement Hranice",24,26,"1.4.2017",294,"Milan Hájek, Karel Macho","Michal Hradil","Jirí Macek","Libor Hrabal","Martin Stržínek","9till12placeMatch","2016/2017",0,9,14,3,2
47,"Koprivnice","Cement Hranice",23,25,"26.3.2017",330,"Michal Hanák, Luboš Pavlícek","Ivo Vávra","Igor Fulnek","Libor Hrabal","Martin Stržínek","9till12placeMatch","2016/2017",0,10,16,4,0
48,"Sokol Nové Veselí","Tatran Litovel",25,22,"26.3.2017",350,"Jirí Králícek, Milan Letev","Pavel Hladík","Filip Vecera","Michal Hradil","Jirí Macek","9till12placeMatch","2016/2017",0,12,10,3,2
49,"Dukla Praha","Tatran Litovel",40,18,"15.3.2017",140,"Dalibor Pavlát, Ludek Tocík","Jan Josef","Jirí Kotrc","Michal Hradil","Jirí Macek","RegularPhaseMatch","2016/2017",0,20,8,2,2
50,"HC ROBE Zubrí","Koprivnice",29,23,"15.3.2017",0,"Marek Becicka, Tomáš Bubenícek","Andrej Titkov","Ivo Tovaryš","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2016/2017",0,14,12,2,3
51,"Pepino SKP Frýdek-Místek","HCB Karviná",35,29,"15.3.2017",613,"Premysl Fukala, Radek Mohyla","Aleš Chrastina","Petr Mazur","Marek Michalisko","Zdenek Mrózek","RegularPhaseMatch","2016/2017",0,18,14,2,2
52,"Cement Hranice","HBC Ronal Jicín",27,30,"15.3.2017",125,"Milan Hájek, Karel Macho","Libor Hrabal","Martin Stržínek","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2016/2017",0,12,14,5,1
53,"SKKP Handball Brno","M.A.T. Plzen",26,34,"15.3.2017",385,"Michal Hanák, Luboš Pavlícek","Zdenek Missbach","Pavel Cejka","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2016/2017",0,11,18,6,0
54,"Sokol Nové Veselí","HK FCC Mesto Lovosice",26,29,"15.3.2017",413,"Tomáš Kozler, Martin Zych","Pavel Hladík","Stanislav Krcál","Milan Berka","Pavel Haken","RegularPhaseMatch","2016/2017",0,16,17,1,3
55,"HBC Ronal Jicín","M.A.T. Plzen",23,26,"11.3.2017",690,"Jirí Opava, Pavel Válek","Aleš Babák","Petr Kyncl","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2016/2017",0,12,15,2,1
56,"HCB Karviná","Cement Hranice",39,31,"11.3.2017",586,"Marek Becicka, Tomáš Bubenícek","Marek Michalisko","Alexander Radcenko","Libor Hrabal","Martin Stržínek","RegularPhaseMatch","2016/2017",0,19,15,2,2
57,"HK FCC Mesto Lovosice","Pepino SKP Frýdek-Místek",28,32,"11.3.2017",619,"Milan Hájek, Karel Macho","Milan Berka","Pavel Haken","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2016/2017",0,16,12,4,1
58,"Tatran Litovel","Sokol Nové Veselí",27,31,"11.3.2017",369,"Michal Hanák, Luboš Pavlícek","Michal Hradil","Jirí Macek","Pavel Hladík","Stanislav Krcál","RegularPhaseMatch","2016/2017",0,12,15,1,2
59,"Koprivnice","Dukla Praha",30,34,"11.3.2017",0,"Václav Horácek, Jirí Novotný","Ivo Vávra","Igor Fulnek","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2016/2017",0,14,18,4,8
60,"SKKP Handball Brno","HC ROBE Zubrí",28,28,"11.3.2017",560,"Pavel Blanar, Michael Haramul","Zdenek Missbach","Pavel Cejka","Andrej Titkov","Ivo Tovaryš","RegularPhaseMatch","2016/2017",0,17,13,2,3
61,"M.A.T. Plzen","HCB Karviná",35,26,"1.3.2017",652,"Václav Horácek, Jirí Novotný","Martin Šetlík","Stanislav Raizl","Marek Michalisko","Alexander Radcenko","RegularPhaseMatch","2016/2017",1,18,11,2,4
62,"Cement Hranice","HK FCC Mesto Lovosice",26,28,"4.3.2017",160,"Dalibor Pavlát, Ludek Tocík","Libor Hrabal","Martin Schober","Milan Berka","Pavel Haken","RegularPhaseMatch","2016/2017",0,12,13,2,2
63,"Dukla Praha","SKKP Handball Brno",27,21,"4.3.2017",185,"Premysl Fukala, Radek Mohyla","Jan Josef","Jirí Kotrc","Zdenek Missbach","Pavel Cejka","RegularPhaseMatch","2016/2017",0,12,10,7,3
64,"Tatran Litovel","Koprivnice",37,37,"4.3.2017",303,"Tomáš Kozler, Martin Zych","Michal Hradil","Jirí Macek","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2016/2017",0,16,19,4,3
65,"HC ROBE Zubrí","HBC Ronal Jicín",30,25,"4.3.2017",1050,"Martin Kosa, Pavel Švidernoch","Andrej Titkov","Ivo Tovaryš","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2016/2017",0,13,13,4,2
66,"Sokol Nové Veselí","Pepino SKP Frýdek-Místek",33,22,"4.3.2017",350,"Václav Horácek, Jirí Novotný","Pavel Hladík","Filip Vecera","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2016/2017",0,16,15,0,2
67,"HBC Ronal Jicín","Dukla Praha",21,23,"22.2.2017",610,"Michal Hanák, Luboš Pavlícek","Aleš Babák","Petr Kyncl","Jan Josef","Jirí Kotrc","RegularPhaseMatch","2016/2017",1,12,11,2,1
68,"HK FCC Mesto Lovosice","M.A.T. Plzen",22,29,"25.2.2017",918,"Premysl Fukala, Radek Mohyla","Milan Berka","Pavel Haken","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2016/2017",0,17,13,4,0
69,"SKKP Handball Brno","Tatran Litovel",30,26,"25.2.2017",382,"Martin Kosa, Pavel Švidernoch","Zdenek Missbach","Pavel Cejka","Michal Hradil","Jirí Macek","RegularPhaseMatch","2016/2017",0,11,14,2,2
70,"Koprivnice","Sokol Nové Veselí",37,28,"25.2.2017",350,"Radoslav Kavulic, Lukáš Frieser","Ivo Vávra","Igor Fulnek","Pavel Hladík","Stanislav Krcál","RegularPhaseMatch","2016/2017",0,20,16,2,1
71,"HCB Karviná","HC ROBE Zubrí",25,19,"26.2.2017",893,"Lukáš Frieser, Radoslav Kavulic","Marek Michalisko","Alexander Radcenko","Andrej Titkov","Ivo Tovaryš","RegularPhaseMatch","2016/2017",0,12,12,0,1
72,"Pepino SKP Frýdek-Místek","Cement Hranice",33,26,"26.2.2017",468,"Premysl Fukala, Radek Mohyla","Aleš Chrastina","Petr Mazur","Libor Hrabal","Karel Magrla","RegularPhaseMatch","2016/2017",0,13,14,4,4
73,"HC ROBE Zubrí","HK FCC Mesto Lovosice",36,20,"16.2.2017",1143,"Michal Hanák, Luboš Pavlícek","Andrej Titkov","Ivo Tovaryš","Milan Berka","Pavel Haken","RegularPhaseMatch","2016/2017",1,15,9,1,1
74,"Dukla Praha","HCB Karviná",36,31,"18.2.2017",145,"Marek Becicka, Tomáš Bubenícek","Jan Josef","Jirí Kotrc","Marek Michalisko","Alexander Radcenko","RegularPhaseMatch","2016/2017",0,19,12,4,4
75,"Tatran Litovel","HBC Ronal Jicín",31,24,"18.2.2017",252,"Lukáš Frieser, Radoslav Kavulic","Michal Hradil","Jirí Macek","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2016/2017",0,11,13,3,4
76,"Koprivnice","SKKP Handball Brno",26,24,"18.2.2017",400,"Mojmír Valášek, Jaroslav Vychodil","Ivo Vávra","Igor Fulnek","Zdenek Missbach","Pavel Cejka","RegularPhaseMatch","2016/2017",0,13,12,2,3
77,"Sokol Nové Veselí","Cement Hranice",29,24,"18.2.2017",0,"Martin Kosa, Pavel Švidernoch","Pavel Hladík","Filip Vecera","Libor Hrabal","Martin Schober","RegularPhaseMatch","2016/2017",0,13,12,5,3
78,"M.A.T. Plzen","Pepino SKP Frýdek-Místek",39,28,"19.2.2017",798,"Lukáš Frieser, Radoslav Kavulic","Martin Šetlík","Stanislav Raizl","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2016/2017",0,19,13,3,3
79,"HK FCC Mesto Lovosice","Dukla Praha",33,30,"10.2.2017",810,"Michal Nezbeda, Václav Zelenka","Milan Berka","Pavel Haken","Jan Josef","Daniel Curda","RegularPhaseMatch","2016/2017",1,17,15,3,0
80,"SKKP Handball Brno","Sokol Nové Veselí",25,24,"11.2.2017",719,"Michal Hanák, Luboš Pavlícek","Zdenek Missbach","Pavel Cejka","Pavel Hladík","Filip Vecera","RegularPhaseMatch","2016/2017",0,10,11,2,4
81,"HBC Ronal Jicín","Koprivnice",32,28,"11.2.2017",640,"Premysl Fukala, Radek Mohyla","Aleš Babák","Petr Kyncl","Ivo Vávra","Igor Fulnek","RegularPhaseMatch","2016/2017",0,16,11,1,1
82,"HCB Karviná","Tatran Litovel",38,34,"12.2.2017",512,"Mojmír Valášek, Jaroslav Vychodil","Marek Michalisko","Alexander Radcenko","Michal Hradil","Jirí Macek","RegularPhaseMatch","2016/2017",0,18,13,5,4
83,"Cement Hranice","M.A.T. Plzen",25,25,"12.2.2017",205,"Pavel Blanar, Michael Haramul","Libor Hrabal","Martin Potiška","Martin Šetlík","Stanislav Raizl","RegularPhaseMatch","2016/2017",0,11,14,2,2
84,"Pepino SKP Frýdek-Místek","HC ROBE Zubrí",24,32,"12.2.2017",456,"Marek Becicka, Tomáš Bubenícek","Aleš Chrastina","Petr Mazur","Andrej Titkov","Ivo Tovaryš","RegularPhaseMatch","2016/2017",0,11,16,4,4
85,"Dukla Praha","Pepino SKP Frýdek-Místek",28,21,"4.2.2017",210,"Tomáš Kozler, Martin Zych","Jan Josef","Daniel Curda","Aleš Chrastina","Petr Mazur","RegularPhaseMatch","2016/2017",0,17,9,4,3
86,"Tatran Litovel","HK FCC Mesto Lovosice",28,39,"4.2.2017",330,"Pavel Blanar, Michael Haramul","Michal Hradil","Jirí Macek","Milan Berka","Pavel Haken","RegularPhaseMatch","2016/2017",0,13,17,2,2
87,"SKKP Handball Brno","HBC Ronal Jicín",25,19,"4.2.2017",0,"Dalibor Pavlát, Ludek Tocík","Zdenek Missbach","Pavel Cejka","Aleš Babák","Petr Kyncl","RegularPhaseMatch","2016/2017",0,14,8,3,3
88,"HC ROBE Zubrí","Cement Hranice",33,20,"4.2.2017",1154,"Premysl Fukala, Radek Mohyla","Andrej Titkov","Ivo Tovaryš","Libor Hrabal","Karel Magrla","RegularPhaseMatch","2016/2017",0,17,8,4,2
89,"Koprivnice","HCB Karviná",26,25,"4.2.2017",0,"Marek Becicka, Tomáš Bubenícek","Ivo Vávra","Igor Fulnek","Marek Michalisko","Alexander Radcenko","RegularPhaseMatch","2016/2017",0,12,18,3,3
